2019-01-07 21:09:56.466753: I tensorflow/core/common_runtime/process_util.cc:69] Creating new thread pool with default inter op setting: 2. Tune using inter_op_parallelism_threads for best performance.
Training...

batch 21100: train=1.000000 test=0.950000
batch 21200: train=1.000000 test=0.950000
batch 21300: train=0.950000 test=0.800000
batch 21400: train=0.950000 test=0.950000
batch 21500: train=0.900000 test=1.000000
batch 21600: train=1.000000 test=1.000000
batch 21700: train=1.000000 test=0.900000
batch 21800: train=1.000000 test=1.000000
batch 21900: train=0.950000 test=0.900000
batch 22000: train=1.000000 test=1.000000
batch 22100: train=1.000000 test=1.000000
batch 22200: train=1.000000 test=0.900000
batch 22300: train=1.000000 test=0.950000
batch 22400: train=0.850000 test=1.000000
batch 22500: train=0.950000 test=0.950000
batch 22600: train=1.000000 test=0.950000
batch 22700: train=1.000000 test=0.900000
batch 22800: train=0.900000 test=1.000000
batch 22900: train=1.000000 test=1.000000
batch 23000: train=1.000000 test=0.900000
batch 23100: train=0.950000 test=0.950000
batch 23200: train=0.900000 test=0.950000
batch 23300: train=1.000000 test=1.000000
batch 23400: train=1.000000 test=0.950000
batch 23500: train=0.900000 test=1.000000
batch 23600: train=0.950000 test=0.950000
batch 23700: train=1.000000 test=0.900000
batch 23800: train=1.000000 test=1.000000
batch 23900: train=0.900000 test=0.950000
batch 24000: train=0.950000 test=0.950000
batch 24100: train=1.000000 test=1.000000
batch 24200: train=1.000000 test=0.900000
batch 24300: train=1.000000 test=0.950000
batch 24400: train=0.950000 test=1.000000
batch 24500: train=1.000000 test=1.000000
batch 24600: train=0.950000 test=0.900000
batch 24700: train=1.000000 test=1.000000
batch 24800: train=1.000000 test=0.950000
batch 24900: train=1.000000 test=0.900000
batch 25000: train=0.950000 test=0.850000
batch 25100: train=1.000000 test=0.900000
batch 25200: train=0.950000 test=0.950000
batch 25300: train=1.000000 test=1.000000
batch 25400: train=1.000000 test=0.950000
batch 25500: train=1.000000 test=1.000000
batch 25600: train=1.000000 test=1.000000
batch 25700: train=1.000000 test=0.950000
batch 25800: train=1.000000 test=0.950000
batch 25900: train=0.900000 test=0.950000
batch 26000: train=0.950000 test=0.950000
batch 26100: train=0.950000 test=0.950000
batch 26200: train=1.000000 test=1.000000
batch 26300: train=1.000000 test=0.850000
batch 26400: train=0.900000 test=1.000000
batch 26500: train=0.950000 test=0.850000
batch 26600: train=0.950000 test=1.000000
batch 26700: train=1.000000 test=0.900000
batch 26800: train=1.000000 test=1.000000
batch 26900: train=0.900000 test=0.950000
batch 27000: train=1.000000 test=1.000000
batch 27100: train=0.950000 test=1.000000
batch 27200: train=1.000000 test=0.950000
batch 27300: train=0.900000 test=0.950000
batch 27400: train=0.950000 test=0.950000
batch 27500: train=0.850000 test=1.000000
batch 27600: train=1.000000 test=1.000000
batch 27700: train=0.950000 test=1.000000
batch 27800: train=1.000000 test=1.000000
batch 27900: train=0.950000 test=0.950000
batch 28000: train=0.900000 test=0.950000
batch 28100: train=1.000000 test=1.000000
batch 28200: train=1.000000 test=0.950000
batch 28300: train=1.000000 test=1.000000
batch 28400: train=1.000000 test=1.000000
batch 28500: train=0.900000 test=1.000000
batch 28600: train=0.950000 test=0.950000
batch 28700: train=1.000000 test=0.950000
batch 28800: train=1.000000 test=1.000000
